name,slug,appstore_de_count,appstore_ch_count,domain_com_available,domain_de_available,domain_ch_available
ImmoKlar,immoklar,0,0,no,no,no
ImmoSaldo,immosaldo,0,0,no,yes,yes
NebenKlar,nebenklar,0,0,yes,yes,yes
MietKlar,mietklar,0,0,no,no,yes
HausBilanz,hausbilanz,0,0,no,no,yes
NebenSaldo,nebensaldo,0,0,yes,yes,yes
UmlagePilot,umlagepilot,0,0,yes,yes,yes
ImmoExakt,immoexakt,0,0,no,no,yes
UmlagePlaner,umlageplaner,0,0,yes,yes,yes
UmlageKlar,umlageklar,0,0,yes,yes,yes
ObjektKlar,objektklar,0,0,no,no,yes
HausUmlage,hausumlage,0,0,yes,yes,yes
MietUmlage,mietumlage,0,0,yes,yes,yes
WohnUmlage,wohnumlage,0,0,yes,yes,yes
NebenkostenPilot,nebenkostenpilot,0,0,yes,no,yes
WohnBilanz,wohnbilanz,0,0,yes,no,yes
ObjektSaldo,objektsaldo,0,0,yes,yes,yes
